"Sample_MO","Sample","Taxon","Treatment","Protocol","Parameter","Value"
"Light_7",7,"Padina","Light","rapid_light_curve","Ik",255.715741030522
"Light_7",7,"Padina","Light","rapid_light_curve","Rd",-0.556760029066647
"Light_8",8,"Cistosera","Light","rapid_light_curve","AQY",0.142197933425134
"Light_8",8,"Cistosera","Light","rapid_light_curve","Am",13.8867534826263
"Light_8",8,"Cistosera","Light","rapid_light_curve","Ik",97.6579135022202
"Light_8",8,"Cistosera","Light","rapid_light_curve","Rd",-0.0297035569271432
"Light_10",10,"Galaxaura","Light","rapid_light_curve","AQY",0.122375654074901
"Light_10",10,"Galaxaura","Light","rapid_light_curve","Am",7.94846412774733
"Light_10",10,"Galaxaura","Light","rapid_light_curve","Ik",64.9513515399266
"Light_10",10,"Galaxaura","Light","rapid_light_curve","Rd",-0.120735060877725
"Light_11",11,"Dictyota","Light","rapid_light_curve","AQY",0.139077573032331
"Light_11",11,"Dictyota","Light","rapid_light_curve","Am",31.1688074950612
"Light_11",11,"Dictyota","Light","rapid_light_curve","Ik",224.110953444777
"Light_11",11,"Dictyota","Light","rapid_light_curve","Rd",0.0540374798749975
"Light_12",12,"Colpomenia","Light","rapid_light_curve","AQY",0.122772542052393
"Light_12",12,"Colpomenia","Light","rapid_light_curve","Am",16.8278798129839
"Light_12",12,"Colpomenia","Light","rapid_light_curve","Ik",137.0654995952
"Light_12",12,"Colpomenia","Light","rapid_light_curve","Rd",-0.135741906425159
"Light_13",13,"Ulva","Light","rapid_light_curve","AQY",0.0986143115546302
"Light_13",13,"Ulva","Light","rapid_light_curve","Am",17.7312387711855
"Light_13",13,"Ulva","Light","rapid_light_curve","Ik",179.803909713072
"Light_13",13,"Ulva","Light","rapid_light_curve","Rd",-0.0853604232877464
